run_id,point_index,lambda,busdc_row,dc_bus_ext,VDC,PDC
beerten_vsc,55,2.38935321253561,1,2,1,1.00801170608364
beerten_vsc,55,2.38935321253561,2,3,1,1
beerten_vsc,55,2.38935321253561,3,5,1,0.99801025756718
beerten_vsc,56,2.42801877288693,1,2,1,1.00801138310392
beerten_vsc,56,2.42801877288693,2,3,1,1
beerten_vsc,56,2.42801877288693,3,5,1,0.99800996314703
beerten_vsc,57,2.46618802429249,1,2,1,1.00801102143407
beerten_vsc,57,2.46618802429249,2,3,1,1
beerten_vsc,57,2.46618802429249,3,5,1,0.998009632697631
beerten_vsc,58,2.50375227409579,1,2,1,1.00801034345724
beerten_vsc,58,2.50375227409579,2,3,1,1
beerten_vsc,58,2.50375227409579,3,5,1,0.99800901991568
beerten_vsc,59,2.5403306887546,1,2,1,1.00800997754814
beerten_vsc,59,2.5403306887546,2,3,1,1
beerten_vsc,59,2.5403306887546,3,5,1,0.998008680729178
beerten_vsc,60,2.57626155992141,1,2,1,1.00800956168542
beerten_vsc,60,2.57626155992141,2,3,1,1
beerten_vsc,60,2.57626155992141,3,5,1,0.998008294088018
beerten_vsc,61,2.61139017132408,1,2,1,1.00800912834483
beerten_vsc,61,2.61139017132408,2,3,1,1
beerten_vsc,61,2.61139017132408,3,5,1,0.998007888984361
beerten_vsc,62,2.64564391760841,1,2,1,1.00800872200498
beerten_vsc,62,2.64564391760841,2,3,1,1
beerten_vsc,62,2.64564391760841,3,5,1,0.998007506179046
beerten_vsc,63,2.67908031877032,1,2,1,1.00800825330082
beerten_vsc,63,2.67908031877032,2,3,1,1
beerten_vsc,63,2.67908031877032,3,5,1,0.998007062985117
beerten_vsc,64,2.71148973302085,1,2,1,1.00800737078527
beerten_vsc,64,2.71148973302085,2,3,1,1
beerten_vsc,64,2.71148973302085,3,5,1,0.998006232737472
beerten_vsc,65,2.74210601831454,1,2,1,1.00800684184433
beerten_vsc,65,2.74210601831454,2,3,1,1
beerten_vsc,65,2.74210601831454,3,5,1,0.99800572356163
beerten_vsc,66,2.77142345334457,1,2,1,1.0080062883295
beerten_vsc,66,2.77142345334457,2,3,1,1
beerten_vsc,66,2.77142345334457,3,5,1,0.998005186718885
beerten_vsc,67,2.7993212496859,1,2,1,1.00800570884869
beerten_vsc,67,2.7993212496859,2,3,1,1
beerten_vsc,67,2.7993212496859,3,5,1,0.998004620198942
beerten_vsc,68,2.8256695601568,1,2,1,1.00800510202236
beerten_vsc,68,2.8256695601568,2,3,1,1
beerten_vsc,68,2.8256695601568,3,5,1,0.998004021904597
beerten_vsc,69,2.85033044007157,1,2,1,1.00800378608215
beerten_vsc,69,2.85033044007157,2,3,1,1
beerten_vsc,69,2.85033044007157,3,5,1,0.998002722123795
beerten_vsc,70,2.871463674602,1,2,1,1.00800308736989
beerten_vsc,70,2.871463674602,2,3,1,1
beerten_vsc,70,2.871463674602,3,5,1,0.99800201386346
beerten_vsc,71,2.89046473589026,1,2,1,1.00800235607978
beerten_vsc,71,2.89046473589026,2,3,1,1
beerten_vsc,71,2.89046473589026,3,5,1,0.998001264543461
beerten_vsc,72,2.90718394113907,1,2,1,1.0080015914968
beerten_vsc,72,2.90718394113907,2,3,1,1
beerten_vsc,72,2.90718394113907,3,5,1,0.998000472076293
beerten_vsc,73,2.91464090596082,1,2,1,1.00799986303034
beerten_vsc,73,2.91464090596082,2,3,1,1
beerten_vsc,73,2.91464090596082,3,5,1,0.99799866476287
beerten_vsc,74,2.92369948007252,1,2,1,1.00799898946102
beerten_vsc,74,2.92369948007252,2,3,1,1
beerten_vsc,74,2.92369948007252,3,5,1,0.997997723391575
beerten_vsc,75,2.92999530031736,1,2,1,1.00799808250032
beerten_vsc,75,2.92999530031736,2,3,1,1
beerten_vsc,75,2.92999530031736,3,5,1,0.99799673172843
beerten_vsc,76,2.93058505271814,1,2,1,1.00799796690095
beerten_vsc,76,2.93058505271814,2,3,1,1
beerten_vsc,76,2.93058505271814,3,5,1,0.997996604261843
beerten_vsc,77,2.93060719857674,1,2,1,1.0079979623752
beerten_vsc,77,2.93060719857674,2,3,1,1
beerten_vsc,77,2.93060719857674,3,5,1,0.997996599266505
beerten_vsc,78,2.93061410869532,1,2,1,1.00799796096078
beerten_vsc,78,2.93061410869532,2,3,1,1
beerten_vsc,78,2.93061410869532,3,5,1,0.997996597705271
beerten_vsc,79,2.93061842342854,1,2,1,1.00799796007673
beerten_vsc,79,2.93061842342854,2,3,1,1
beerten_vsc,79,2.93061842342854,3,5,1,0.997996596729426
beerten_vsc,80,2.9306190972061,1,2,1,1.00799795993859
beerten_vsc,80,2.9306190972061,2,3,1,1
beerten_vsc,80,2.9306190972061,3,5,1,0.997996596576943
beerten_vsc,81,2.93061920247409,1,2,1,1.007997959917
beerten_vsc,81,2.93061920247409,2,3,1,1
beerten_vsc,81,2.93061920247409,3,5,1,0.997996596553117
beerten_vsc,82,2.93061921892198,1,2,1,1.00799795991363
beerten_vsc,82,2.93061921892198,2,3,1,1
beerten_vsc,82,2.93061921892198,3,5,1,0.997996596549394
