run_id,point_index,lambda,vsc_row,bus_ext,dc_bus_ext,PAC,QAC,PDC,VDC,VAC_PCC,VAC_INTERNAL,PLOSS
beerten_vsc,33,1.46783249613293,1,2,2,-60,-40,58.6710120921968,1.00801272984038,1,0.982845056350335,1.32898790780319
beerten_vsc,33,1.46783249613293,2,3,3,20.3574520570021,108.759269525983,-21.9243781144286,1,1,1.04102832638813,1.56692605742626
beerten_vsc,33,1.46783249613293,3,5,5,35,5,-36.2081229387609,0.998011782753279,0.950443149422499,0.952717823558566,1.20812293876092
beerten_vsc,34,1.50906125401351,1,2,2,-60,-40,58.6710120921968,1.00801275606976,1,0.982845056350334,1.32898790780319
beerten_vsc,34,1.50906125401351,2,3,3,20.3453845291648,110.788735650574,-21.9247457988956,1,1,1.04176497514376,1.57936127092356
beerten_vsc,34,1.50906125401351,3,5,5,35,5,-36.2077567467086,0.998011845400443,0.953033378406613,0.955302508411983,1.2077567467086
beerten_vsc,35,1.55011430797013,1,2,2,-60,-40,58.6710120921968,1.00801274045652,1,0.982845056350334,1.32898790780319
beerten_vsc,35,1.55011430797013,2,3,3,20.323227141271,114.314584554053,-21.9245269319558,1,1,1.04304240277432,1.60129979094286
beerten_vsc,35,1.55011430797013,3,5,5,35,5,-36.2079747252543,0.998011808109248,0.951489456474042,0.953761888081977,1.2079747252543
beerten_vsc,36,1.5909053199733,1,2,2,-60,-40,58.6710120921968,1.00801272476061,1,0.982845056350334,1.32898790780319
beerten_vsc,36,1.5909053199733,2,3,3,20.3005502476914,117.855361512328,-21.9243069060667,1,1,1.04432222272901,1.62375665858198
beerten_vsc,36,1.5909053199733,3,5,5,35,5,-36.2081938580998,0.998011770620588,0.949943488420799,0.952219234913041,1.20819385809979
beerten_vsc,37,1.63142869349551,1,2,2,-60,-40,58.6710120921968,1.00801270898425,1,0.982845056350335,1.32898790780319
beerten_vsc,37,1.63142869349551,2,3,3,20.2773567164989,121.410350352406,-21.9240857524767,1,1,1.04560416021733,1.64672903614038
beerten_vsc,37,1.63142869349551,3,5,5,35,5,-36.2084141140531,0.998011732939787,0.948395752123602,0.950674826251234,1.20841411405307
beerten_vsc,38,1.67167901648536,1,2,2,-60,-40,58.6710120921968,1.00801269312972,1,0.982845056350334,1.32898790780319
beerten_vsc,38,1.67167901648536,2,3,3,20.2536497777373,124.978826875964,-21.923863503141,1,1,1.04688794011403,1.67021372552734
beerten_vsc,38,1.67167901648536,3,5,5,35,5,-36.208635461285,0.99801169507229,0.946846526058852,0.949128940034428,1.20863546128505
beerten_vsc,39,1.71165107496075,1,2,2,-60,-40,58.6710120921968,1.00801267719934,1,0.982845056350335,1.32898790780319
beerten_vsc,39,1.71165107496075,2,3,3,20.2294330173565,128.560060688189,-21.9236401905171,1,1,1.04817328762854,1.69420717325023
beerten_vsc,39,1.71165107496075,3,5,5,35,5,-36.208857867476,0.998011657023626,0.945296088202201,0.947581853694678,1.20885786747597
beerten_vsc,40,1.75133986636763,1,2,2,-60,-40,58.6710120921968,1.00801266119546,1,0.982845056350334,1.32898790780319
beerten_vsc,40,1.75133986636763,2,3,3,20.2047103703861,132.153316951222,-21.9234158474549,1,1,1.04945992893674,1.71870547712917
beerten_vsc,40,1.75133986636763,3,5,5,35,5,-36.2090812999053,0.998011618799394,0.943744715348609,0.946033843479689,1.20908129990525
beerten_vsc,41,1.79074061185469,1,2,2,-60,-40,58.6710120921968,1.00801264512043,1,0.982845056350335,1.32898790780319
beerten_vsc,41,1.79074061185469,2,3,3,20.1794861121175,135.757858133707,-21.923190507119,1,1,1.05074759180107,1.74370439503924
beerten_vsc,41,1.79074061185469,3,5,5,35,5,-36.2093057255419,0.998011580405242,0.942192682445447,0.944485183787344,1.20930572554188
beerten_vsc,42,1.82984876736177,1,2,2,-60,-40,58.6710120921968,1.00801262897664,1,0.982845056350335,1.32898790780319
beerten_vsc,42,1.82984876736177,2,3,3,20.1537648474132,139.372945748485,-21.9229642028942,1,1,1.05203600617635,1.76919935550319
beerten_vsc,42,1.82984876736177,3,5,5,35,5,-36.2095311111348,0.998011541846861,0.940640261942997,0.942936146517606,1.20953111113478
beerten_vsc,43,1.86866003351164,1,2,2,-60,-40,58.6710120921968,1.00801261276648,1,0.982845056350335,1.32898790780319
beerten_vsc,43,1.86866003351164,2,3,3,20.1275514984101,142.997842061836,-21.9227369683026,1,1,1.05332490479568,1.79518546990164
beerten_vsc,43,1.86866003351164,3,5,5,35,5,-36.2097574233024,0.998011503129961,0.939087723167418,0.941387000446871,1.20975742330244
beerten_vsc,44,1.90717036424525,1,2,2,-60,-40,58.6710120921968,1.00801259649235,1,0.982845056350335,1.32898790780319
beerten_vsc,44,1.90717036424525,2,3,3,20.1008512907759,146.631811766361,-21.9225088369022,1,1,1.05461402373386,1.82165754612811
beerten_vsc,44,1.90717036424525,3,5,5,35,5,-36.2099846286213,0.99801146426026,0.937535331718906,0.93983801062748,1.20998462862132
beerten_vsc,45,1.94537597416815,1,2,2,-60,-40,58.6710120921968,1.0080125646149,1,0.982845056350334,1.32898790780319
beerten_vsc,45,1.94537597416815,2,3,3,20.1348031906196,141.218219873917,-21.9220619777118,1,0.995057900833754,1.04798675448398,1.78725878709194
beerten_vsc,45,1.94537597416815,3,5,5,35,5,-36.2104296737703,0.998011388123073,0.93451260720004,0.936821936211828,1.2104296737703
beerten_vsc,46,1.99061771697406,1,2,2,-60,-40,58.6710120921968,1.00801253731429,1,0.982845056350334,1.32898790780319
beerten_vsc,46,1.99061771697406,2,3,3,20.1320446829953,141.218219873917,-21.9216792767128,1,0.992674749211819,1.04571829698378,1.78963459394815
beerten_vsc,46,1.99061771697406,3,5,5,35,5,-36.2108108211613,0.998011322917349,0.931942707955121,0.934257718688901,1.21081082116129
beerten_vsc,47,2.03579636348466,1,2,2,-60,-40,58.6710120921968,1.00801250952937,1,0.982845056350335,1.32898790780319
beerten_vsc,47,2.03579636348466,2,3,3,20.1292375097899,141.218219873917,-21.9212897867358,1,0.990263580103531,1.04342365258315,1.79205227718801
beerten_vsc,47,2.03579636348466,3,5,5,35,5,-36.2111987298825,0.998011256554897,0.929344866747977,0.931665647158205,1.2111987298825
beerten_vsc,48,2.08090993458524,1,2,2,-60,-40,58.6710120921968,1.00801248124556,1,0.982845056350335,1.32898790780319
beerten_vsc,48,2.08090993458524,2,3,3,20.1263802908909,141.218219873917,-21.9208933033187,1,0.987823825021791,1.04110230027923,1.79451301268152
beerten_vsc,48,2.08090993458524,3,5,5,35,5,-36.2115936035988,0.998011189000883,0.926718472064323,0.929045112481337,1.21159360359881
beerten_vsc,49,2.12595636117513,1,2,2,-60,-40,58.6710120921968,1.00801245244763,1,0.982845056350335,1.32898790780319
beerten_vsc,49,2.12595636117513,2,3,3,20.1234715869472,141.218219873917,-21.9204896128105,1,0.985354894418413,1.03875369994648,1.79701802612899
beerten_vsc,49,2.12595636117513,3,5,5,35,5,-36.2119956550948,0.998011120218904,0.9240628890543,0.926395482283116,1.21199565509478
beerten_vsc,50,2.17093347924085,1,2,2,-60,-40,58.6710120921968,1.00801242449241,1,0.982845056350334,1.32898790780319
beerten_vsc,50,2.17093347924085,2,3,3,20.12079427102,141.218219873917,-21.9200977355712,1,0.983115186819023,1.03662359867419,1.79930346455523
beerten_vsc,50,2.17093347924085,3,5,5,35,5,-36.2123859411826,0.998011053449704,0.921502732680156,0.923841091319401,1.21238594118257
beerten_vsc,51,2.21585384385736,1,2,2,-60,-40,58.6710120921968,1.00801239468041,1,0.982845056350335,1.32898790780319
beerten_vsc,51,2.21585384385736,2,3,3,20.11779101233,141.218219873917,-21.9196798298206,1,0.980596214601685,1.03422841131685,1.80188881777813
beerten_vsc,51,2.21585384385736,3,5,5,35,5,-36.2128021501339,0.998010982245689,0.918791551715249,0.921136044411154,1.21280215013391
beerten_vsc,52,2.26070087176129,1,2,2,-60,-40,58.6710120921968,1.00801236430727,1,0.982845056350334,1.32898790780319
beerten_vsc,52,2.26070087176129,2,3,3,20.114732146045,141.218219873917,-21.9192540581453,1,0.978046524516255,1.03180457099857,1.80452191240437
beerten_vsc,52,2.26070087176129,3,5,5,35,5,-36.2132261929643,0.998010909701455,0.916049310060149,0.918400037138252,1.21322619296435
beerten_vsc,53,2.30547211499076,1,2,2,-60,-40,58.6710120921968,1.00801233335494,1,0.982845056350334,1.32898790780319
beerten_vsc,53,2.30547211499076,2,3,3,20.1116159941142,141.218219873917,-21.9188201671834,1,0.975465448453518,1.02935146660573,1.80720417338685
beerten_vsc,53,2.30547211499076,3,5,5,35,5,-36.2136583220513,0.998010835773833,0.913275276684587,0.915632341364032,1.21365832205126
beerten_vsc,54,2.35016500647105,1,2,2,-60,-40,58.6698369494401,1.00801204352193,0.996295327661588,0.979072075915117,1.33016305055995
beerten_vsc,54,2.35016500647105,2,3,3,20.1032752229665,141.218219873917,-21.916553620737,1,0.969678628923004,1.02385367889758,1.81327839777099
beerten_vsc,54,2.35016500647105,3,5,5,35,5,-36.2147636927602,0.998010563332116,0.906271948892463,0.908645153268745,1.21476369276019
beerten_vsc,55,2.38935321253561,1,2,2,-60,-40,58.6684368065436,1.00801170608364,0.991928506528553,0.974624013091745,1.33156319345639
beerten_vsc,55,2.38935321253561,2,3,3,20.0941804105791,141.218219873917,-21.9139636821488,1,0.963571329049615,1.01805462696873,1.81978327156987
beerten_vsc,55,2.38935321253561,3,5,5,35,5,-36.2159705772439,0.99801025756718,0.898773800721546,0.901164510040958,1.21597057724393
beerten_vsc,56,2.42801877288693,1,2,2,-60,-40,58.667101575151,1.00801138310392,0.987811121621673,0.970429298794989,1.33289842484903
beerten_vsc,56,2.42801877288693,2,3,3,20.0856348055206,141.218219873917,-21.9114772006876,1,0.957964181150387,1.01273342771439,1.82584239524804
beerten_vsc,56,2.42801877288693,3,5,5,35,5,-36.2171380548441,0.99800996314703,0.891663422863904,0.894070950231351,1.2171380548441
beerten_vsc,57,2.46618802429249,1,2,2,-60,-40,58.6656085240639,1.00801102143407,0.98326043414081,0.965792309180008,1.33439147593611
beerten_vsc,57,2.46618802429249,2,3,3,20.0758823725556,141.218219873917,-21.9086896072696,1,0.951613946119911,1.00671049185931,1.83280723471453
beerten_vsc,57,2.46618802429249,3,5,5,35,5,-36.2184507115689,0.998009632697631,0.88383146409832,0.886257766496617,1.21845071156886
beerten_vsc,58,2.50375227409579,1,2,2,-60,-40,58.6627910218995,1.00801034345724,0.974822791471003,0.957192283885052,1.33720897810047
beerten_vsc,58,2.50375227409579,2,3,3,20.1155152876722,133.323863926462,-21.9034925978399,1,0.937038208312444,0.989933279741728,1.78797731016722
beerten_vsc,58,2.50375227409579,3,5,5,35,5,-36.2208646545702,0.99800901991568,0.869859713304213,0.872320174964228,1.22086465457025
beerten_vsc,59,2.5403306887546,1,2,2,-60,-40,58.6612940882901,1.00800997754814,0.97041766286899,0.952701132154591,1.33870591170988
beerten_vsc,59,2.5403306887546,2,3,3,20.1063385979115,133.323863926462,-21.9006515179728,1,0.931050771292668,0.984250838012076,1.79431292024
beerten_vsc,59,2.5403306887546,3,5,5,35,5,-36.2222267689497,0.998008680729178,0.862212004445768,0.864691533189149,1.22222676894967
beerten_vsc,60,2.57626155992141,1,2,2,-60,-40,58.6595960127514,1.00800956168542,0.965484342202718,0.947670437534514,1.34040398724865
beerten_vsc,60,2.57626155992141,2,3,3,20.0956980617028,133.323863926462,-21.8974176588091,1,0.924165190604434,0.977720150761073,1.80171959710593
beerten_vsc,60,2.57626155992141,3,5,5,35,5,-36.2237828877129,0.998008294088018,0.853674489362146,0.856175619290801,1.22378288771288
beerten_vsc,61,2.61139017132408,1,2,2,-60,-40,58.6578327660136,1.00800912834483,0.960431918372207,0.94251713448819,1.34216723398643
