run_id,point_index,lambda,source,trace_row,gen_idx,bus_ext,PG,QG,QMAX,QMIN,PMAX,PMIN,status,warmstart
beerten_vsc,44,1.90717036424525,cpf.gen,2,2,2,160,48.4850990931478,300,-300,300,0,1,0
beerten_vsc,45,1.94537597416815,cpf.gen,1,1,1,367.752889931443,37.4385204411653,500,-500,500,-500,1,0
beerten_vsc,45,1.94537597416815,cpf.gen,2,2,2,160,58.0927078815192,300,-300,300,0,1,0
beerten_vsc,46,1.99061771697406,cpf.gen,1,1,1,376.774320901278,37.0774825197129,500,-500,500,-500,1,0
beerten_vsc,46,1.99061771697406,cpf.gen,2,2,2,160,65.3008716713805,300,-300,300,0,1,0
beerten_vsc,47,2.03579636348466,cpf.gen,1,1,1,385.83244378147,36.7627374305878,500,-500,500,-500,1,0
beerten_vsc,47,2.03579636348466,cpf.gen,2,2,2,160,72.6081715252722,300,-300,300,0,1,0
beerten_vsc,48,2.08090993458524,cpf.gen,1,1,1,394.927703060052,36.4949172972898,500,-500,500,-500,1,0
beerten_vsc,48,2.08090993458524,cpf.gen,2,2,2,160,80.0163519453043,300,-300,300,0,1,0
beerten_vsc,49,2.12595636117513,cpf.gen,1,1,1,404.060554615183,36.274673945504,500,-500,500,-500,1,0
beerten_vsc,49,2.12595636117513,cpf.gen,2,2,2,160,87.5272182089354,300,-300,300,0,1,0
beerten_vsc,50,2.17093347924085,cpf.gen,1,1,1,413.168562589992,36.0035756003008,500,-500,500,-500,1,0
beerten_vsc,50,2.17093347924085,cpf.gen,2,2,2,160,94.7061511243192,300,-300,300,0,1,0
beerten_vsc,51,2.21585384385736,cpf.gen,1,1,1,422.377460923785,35.8761707560888,500,-500,500,-500,1,0
beerten_vsc,51,2.21585384385736,cpf.gen,2,2,2,160,102.411367019659,300,-300,300,0,1,0
beerten_vsc,52,2.26070087176129,cpf.gen,1,1,1,431.625347480508,35.7982770732738,500,-500,500,-500,1,0
beerten_vsc,52,2.26070087176129,cpf.gen,2,2,2,160,110.224466800283,300,-300,300,0,1,0
beerten_vsc,53,2.30547211499076,cpf.gen,1,1,1,440.912723438482,35.7706269084982,500,-500,500,-500,1,0
beerten_vsc,53,2.30547211499076,cpf.gen,2,2,2,160,118.147499099601,300,-300,300,0,1,0
beerten_vsc,54,2.35016500647105,cpf.gen,1,1,1,450.585350125876,43.3927095678316,500,-500,500,-500,1,0
beerten_vsc,54,2.35016500647105,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,55,2.38935321253561,cpf.gen,1,1,1,459.264799442986,52.4239586884298,500,-500,500,-500,1,0
beerten_vsc,55,2.38935321253561,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,56,2.42801877288693,cpf.gen,1,1,1,467.815772996274,60.8679809609818,500,-500,500,-500,1,0
beerten_vsc,56,2.42801877288693,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
