set_name,bus_i,base_kv,vm_initial,vm_final,vm_min
switched_shunt_buses,2206,132,1.0421645598,1.03077543164,1.03077543164
switched_shunt_buses,2208,132,1.04215817973,1.03077413038,1.03077413038
switched_shunt_buses,230231,33,1.02128969079,0.942474477593,0.942474477593
genq_generator_buses,102,13.8,1.04,1.04,1.04
genq_generator_buses,104,13.8,1.04,1.04,1.04
genq_generator_buses,106,13.8,1.04,1.04,1.04
genq_generator_buses,108,13.8,1.04,1.04,1.04
genq_generator_buses,190,10.5,1.06914851442,0.829653872759,0.829653872759
genq_generator_buses,191,10.5,1.07848420922,0.841363990364,0.841363990364
genq_generator_buses,192,10.5,1.01157874209,0.755220970601,0.755220970601
genq_generator_buses,201,13.2,nan,nan,nan
genq_generator_buses,202,13.2,nan,nan,nan
genq_generator_buses,203,13.2,nan,nan,nan
genq_generator_buses,204,13.2,nan,nan,nan
genq_generator_buses,205,11,nan,nan,nan
genq_generator_buses,206,11,nan,nan,nan
genq_generator_buses,251,13.2,1.04,0.942806612053,0.942806612053
genq_generator_buses,252,13.2,nan,nan,nan
genq_generator_buses,453,0.4,1.03,1.03,1.03
genq_generator_buses,476,0.4,nan,nan,nan
genq_generator_buses,478,0.4,1.04,1.04,1.04
genq_generator_buses,491,11.5,1.03,1.03,1.03
genq_generator_buses,493,11.5,1.03,1.03,1.03
genq_generator_buses,523,11,nan,nan,nan
genq_generator_buses,525,11,nan,nan,nan
genq_generator_buses,536,11,1,1,1
genq_generator_buses,601,0.7,1.00622610242,0.968600927136,0.968600927136
genq_generator_buses,602,0.6,1,1,1
genq_generator_buses,604,6,1.04,1.01521624859,1.01521624859
genq_generator_buses,605,0.7,1.00408212797,0.98713611653,0.98713611653
genq_generator_buses,607,10.4,1,1,1
genq_generator_buses,608,0.7,1,1,1
genq_generator_buses,609,0.7,1,1,1
genq_generator_buses,618,0.4,1,1,1
genq_generator_buses,619,11,1,1,1
genq_generator_buses,620,6.3,1.04,1.04,1.04
genq_generator_buses,650,0.7,1.02,1.02,1.02
genq_generator_buses,651,0.7,1,1,1
genq_generator_buses,652,0.6,1,1,1
genq_generator_buses,654,0.7,1.04339154461,1.00859909629,1.00859909629
genq_generator_buses,656,0.7,1.03638200441,0.78242611361,0.78242611361
