accepted_index,lambda,total_demand_MW,phase,AC_bus_1_pu,AC_bus_2_pu,AC_bus_3_pu,AC_bus_4_pu,AC_bus_5_pu,AC_bus_6_pu,AC_bus_7_pu,VSC1_filter_pu,VSC1_internal_pu,VSC2_filter_pu,VSC2_internal_pu,VSC3_filter_pu,VSC3_internal_pu,DC_bus_2_pu,DC_bus_3_pu,DC_bus_5_pu
60,1.21011118411019,455.426684186445,lower_branch_decreasing_demand,1.06,0.901210897085959,0.928025206967179,0.882419191199751,0.589391478454633,0.964436301648988,0.951887657907387,0.901166514817873,0.88320568103998,0.928173680732972,0.986410970367254,0.589399964772037,0.593723648814473,1.00798779497372,1,0.997984309292886
61,1.19647914856016,452.154995654438,lower_branch_decreasing_demand,1.06,0.894038446261841,0.919889071048458,0.873224285299463,0.571560429676436,0.957666769207005,0.965372076064739,0.893993707975592,0.875895227440127,0.920037519822286,0.978265893123654,0.571569180938111,0.576058398066877,1.00798635655698,1,0.997982227115406
62,1.18101298396666,448.443116151999,lower_branch_decreasing_demand,1.06,0.887046703304857,0.91193095682108,0.864218176576432,0.554033721546894,0.951072056448665,0.955309322524254,0.887001612429554,0.86876696703006,0.912079380675509,0.970298872213501,0.554042749869883,0.558708045700366,1.00798487032976,1,0.997980024765683
63,1.16386161824225,444.32678837814,lower_branch_decreasing_demand,1.06,0.880221626443573,0.904153340046563,0.855407257629667,0.536757498715861,0.944638654028168,0.94546335597466,0.880176185982365,0.861806690234495,0.904301739108868,0.962512403160873,0.536766817870059,0.541620312059492,1.00798332843478,1,0.99797768491327
64,1.14518059646558,439.84334315174,lower_branch_decreasing_demand,1.06,0.873573579868348,0.896568498142293,0.8468057823403,0.519757344296939,0.938376070354284,0.935850147954739,0.873527793637979,0.855025072728446,0.896716872623856,0.954918793523378,0.519766968532732,0.524821701001392,1.0079817284944,1,0.99797519855293
65,1.12512535343079,435.030084823391,lower_branch_decreasing_demand,1.06,0.867111023212415,0.88918660223001,0.838425692788,0.503055548105375,0.932291997955478,0.926483096500282,0.867064895779125,0.848430859444425,0.88933495242505,0.947528244040919,0.503065492176758,0.508335519131793,1.00798006771289,1,0.997972555868746
66,1.10385008732639,429.924020958334,lower_branch_decreasing_demand,1.06,0.86084086077917,0.882016101600895,0.830277043382036,0.486671893836856,0.926392648795769,0.917373498764716,0.860794397405165,0.842031218025255,0.882164427885705,0.940349233288791,0.486682173012701,0.49218266470413,1.00797834290858,1,0.997969746277744
67,1.08150727579717,424.561746191321,lower_branch_decreasing_demand,1.06,0.85476877816867,0.87506409615002,0.822368413307878,0.470624443212117,0.920683076422009,0.908531010846046,0.854721984769966,0.83583207996556,0.875212398982762,0.933388890312501,0.470635073270552,0.476382409798231,1.00797655056856,1,0.997966758522831
68,1.0582476811991,418.979443487783,lower_branch_decreasing_demand,1.06,0.848899545200891,0.868336672575476,0.814707279784025,0.454930266267506,0.915167465188453,0.899964064073058,0.848852428316126,0.829838447872108,0.868484952496454,0.926653331000048,0.454941263468146,0.460953123908252,1.0079746869278,1,0.997963580824682
69,1.0342206757744,413.212962185856,lower_branch_decreasing_demand,1.06,0.843237269486425,0.861839186122093,0.807300331156426,0.439606075509237,0.909849372030789,0.891680214266444,0.843189836255193,0.824054652790851,0.861987443754325,0.92014793993329,0.439617456537865,0.445912895425717,1.00797274807551,1,0.997960201102918
